timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506690387954,1004,VMSM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,,true,,84303,5028,1,14,886,1095,2
1506690390053,1,BeanShell Sampler,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,574,0,1,14,0,0,0
1506690389182,1462,768 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,28981,2177,1,14,1414,0,1
1506690390644,143,769 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,27671,1483,1,14,13,0,0
1506690390787,156,770 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,26811,749,1,14,155,0,0
1506690388631,2380,547 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_PO_Follow_Up_1x 4-1,text,true,,28977,1748,1,14,1044,0,14
1506690390943,72,771 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,786,619,1,14,72,0,0
1506690388100,1833,VMDA_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,,true,,84249,5028,1,14,1654,1082,1
1506690391015,1,BeanShell Sampler,200,OK,HKPC3ITS005_Vendor_Management_Discrepancy_Approval_1x 7-1,text,true,,562,0,1,14,0,0,0
1506690389691,1354,142 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Report_Virtual_Buying_Office_1x 1-1,text,true,,27801,1379,1,14,23,0,0
1506690389691,1402,59 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Report_Analysis_Report_1x 2-1,text,true,,27796,1379,1,14,32,0,0
1506690389174,1986,856 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Carrier_Management_Air_Booking_Maintenance(Operation)_1x 8-1,text,true,,29003,2186,1,14,1879,0,2
1506690389589,1582,1030 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Carrier_Management_Sea_B/L_Maintenance_1x 11-1,text,true,,28988,2156,1,14,1480,0,2
1506690389469,1723,988 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance_1x 10-1,text,true,,28979,2186,1,14,1606,0,1
1506690389721,1482,1071 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Carrier_Management_My_Shipment_1x 12-1,text,true,,28976,2153,1,14,1356,0,1
1506690389393,1837,941 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Carrier_Management_Sea_Booking_Maintenance(Operation)_1x 9-1,text,true,,28999,2186,1,14,1676,0,2
1506690391192,44,991 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance_1x 10-1,text,true,,787,619,1,14,44,0,0
1506690388400,1767,CMABLM_Open Web Portal,200,"Number of samples in transaction : 2, number of failing samples : 0",HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance_1x 10-1,,true,,29766,2805,1,14,1650,1070,1
1506690391237,0,BeanShell Sampler,200,OK,HKPC3ITS005_Carrier_Management_Air_B/L_Maintenance_1x 10-1,text,true,,563,0,1,14,0,0,0
